id;Con;Dat;PPName;Agt
19;AFGHANISTAN;1992;AFGHANISTAN: 1990S TALIBAN PROCESS;PESHAWAR ACCORD
18;AFGHANISTAN;1993;AFGHANISTAN: 1990S TALIBAN PROCESS;AFGHAN PEACE ACCORD (ISLAMABAD ACCORD)
17;AFGHANISTAN;1999;AFGHANISTAN: 2000S POST-INTERVENTION PROCESS;TASHKENT DECLARATION ON FUNDAMENTAL PRINCIPLES FOR A PEACEFUL SETTLEMENT OF THE CONFLICT IN AFGHANISTAN
16;AFGHANISTAN;2001;AFGHANISTAN: 2000S POST-INTERVENTION PROCESS;AGREEMENT ON PROVISIONAL ARRANGEMENTS IN AFGHANISTAN PENDING THE RE-ESTABLISHMENT OF PERMANENT GOVERNMENT INSTITUTIONS ('BONN AGREEMENT')
14;AFGHANISTAN;2002;AFGHANISTAN: 2000S POST-INTERVENTION PROCESS;KABUL DECLARATION OF GOOD NEIGHBOURLY RELATIONS
15;AFGHANISTAN;2002;AFGHANISTAN: 2000S POST-INTERVENTION PROCESS;COMMUNIQUÉ OF THE INTERNATIONAL CONFERENCE ON RECONSTRUCTION ASSISTANCE TO AFGHANISTAN (TOKYO CONFERENCE)
13;AFGHANISTAN;2004;AFGHANISTAN: 2000S POST-INTERVENTION PROCESS;BERLIN DECLARATION (BERLIN CONFERENCE)
12;AFGHANISTAN;2006;AFGHANISTAN: 2000S POST-INTERVENTION PROCESS;AFGHANISTAN COMPACT BUILDING ON SUCCESS (LONDON CONFERENCE)
11;AFGHANISTAN;2007;AFGHANISTAN: 2000S POST-INTERVENTION PROCESS;ROME CONFERENCE ON JUSTICE AND RULE OF LAW IN AFGHANISTAN
10;AFGHANISTAN;2008;AFGHANISTAN: 2000S POST-INTERVENTION PROCESS;DECLARATION OF THE INTERNATIONAL CONFERENCE IN SUPPORT OF AFGHANISTAN (PARIS CONFERENCE)
8;AFGHANISTAN;2009;AFGHANISTAN: 2000S POST-INTERVENTION PROCESS;STATEMENT OF THE INTERNATIONAL CONFERENCE ON AFGHANISTAN (HAGUE CONFERENCE)
9;AFGHANISTAN;2009;AFGHANISTAN: 2000S POST-INTERVENTION PROCESS;DECLARATION OF THE SPECIAL CONFERENCE ON AFGHANISTAN CONVENED UNDER THE AUSPICES OF THE SHANGHAI COOPERATION ORGANIZATION (MOSCOW DECLARATION)
5;AFGHANISTAN;2010;AFGHANISTAN: 2000S POST-INTERVENTION PROCESS;RENEWED COMMITMENT BY THE AFGHAN GOVERNMENT TO THE AFGHAN PEOPLE AND THE INTERNATIONAL COMMUNITY TO AFGHANISTAN (KABUL CONFERENCE COMMUNIQUE)
6;AFGHANISTAN;2010;AFGHANISTAN: 2000S POST-INTERVENTION PROCESS;THE RESOLUTION ADOPTED AT THE CONCLUSION OF THE NATIONAL CONSULTATIVE PEACE JIRGA
7;AFGHANISTAN;2010;AFGHANISTAN: 2000S POST-INTERVENTION PROCESS;COMMUNIQUÉ OF THE CONFERENCE ON AFGHAN LEADERSHIP, REGIONAL COOPERATION, INTERNATIONAL PARTNERSHIP (LONDON CONFERENCE COMMUNIQUE)
3;AFGHANISTAN;2011;AFGHANISTAN: 2000S POST-INTERVENTION PROCESS;CONCLUSIONS OF THE CONFERENCE ON AFGHANISTAN AND THE INTERNATIONAL COMMUNITY: FROM TRANSITION TO THE TRANSFORMATION DECADE (BONN CONFERENCE)
4;AFGHANISTAN;2011;AFGHANISTAN: 2000S POST-INTERVENTION PROCESS;ISTANBUL PROCESS ON REGIONAL SECURITY AND COOPERATION FOR A SECURE AND STABLE AFGHANISTAN
2;AFGHANISTAN;2012;AFGHANISTAN: 2000S POST-INTERVENTION PROCESS;TOKYO DECLARATION PARTNERSHIP FOR SELF-RELIANCE IN AFGHANISTAN FROM TRANSITION TO TRANSFORMATION (TOKYO CONFERENCE)
1;AFGHANISTAN;2014;AFGHANISTAN: 2000S POST-INTERVENTION PROCESS;AGREEMENT BETWEEN THE TWO CAMPAIGN TEAMS REGARDING THE STRUCTURE OF THE NATIONAL UNITY GOVERNMENT
0;AFGHANISTAN;2016;AFGHANISTAN: 2000S POST-INTERVENTION PROCESS;AGREEMENT BETWEEN THE ISLAMIC REPUBLIC OF AFGHANISTAN AND HIZB-E-ISLAMI
20;AFGHANISTAN/PAKISTAN;2007;AFGHANISTAN: 2000S POST-INTERVENTION PROCESS;JOINT DECLARATION ADOPTED BY PAK-AFGHAN JOINT PEACE JIRGA
26;ALGERIA;1994;ALGERIA: BOUTEFLIKA PROCESS;PLATE-FORME PORTANT CONSENSUS NATIONAL SUR LA PÉRIODE TRANSITOIRE
25;ALGERIA;1995;ALGERIA: BOUTEFLIKA PROCESS;PLATE-FORME POUR UNE SOLUTION POLITIQUE ET PACIFIQUE DE LA CRISE ALGÉRIENNE (PLATE-FORME DE ROME)
24;ALGERIA;1996;ALGERIA: BOUTEFLIKA PROCESS;PLATE-FORME DE L'ENTENTE NATIONALE
22;ALGERIA;1999;ALGERIA: BOUTEFLIKA PROCESS;TEXTS FOR IMPLEMENTING ACTS RELATING TO THE RESTORATION OF CIVIL HARMONY
23;ALGERIA;1999;ALGERIA: BOUTEFLIKA PROCESS;CIVIL HARMONY ACT
